pov_ratio_guarantee,phase_out_rate,cost_b,adult_reach,spmu_reach,child_reach,gini,poverty_rate,deep_poverty_rate,child_poverty_rate,child_deep_poverty_rate,adult_poverty_rate,adult_deep_poverty_rate,poverty_gap,squared_poverty_gap,deep_poverty_gap
0.01,0.19,0.0171028793846981,125591.21666666667,105453.31333333332,20290.67,0.4884501059464127,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450450561.05698,93651617819417.97,1435660443.6688504
0.01,0.2,0.017017331840940505,125591.21666666667,105453.31333333332,20290.67,0.48845062692022334,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450536108.600739,93655634264089.75,1435745991.2126079
0.01,0.21,0.016933522196516233,124881.87,104743.96666666667,20290.67,0.4884511373147085,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450619918.245162,93659598257519.69,1435829800.8570323
0.01,0.22,0.016856977701158637,124277.17333333334,104139.27,20290.67,0.4884516034665596,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450696462.74052,93663338726172.12,1435906345.3523898
0.01,0.23,0.016788571000604904,122795.95000000001,102658.04666666668,20290.67,0.4884520200204112,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450764869.441073,93666840804236.84,1435974752.0529437
0.01,0.24,0.016723346714752108,122795.95000000001,102658.04666666668,20290.67,0.48845241717365917,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450830093.726927,93670251041008.95,1436039976.3387966
0.01,0.25,0.016662808184565975,122027.79333333335,101889.89,19450.823333333334,0.48845278584092616,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450890632.2571125,93673447072816.06,1436100514.8689826
0.01,0.26,0.01661207686371317,121134.52,100996.61666666665,17649.946666666667,0.4884530949023794,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450941363.577965,93676133270779.81,1436151246.1898353
0.01,0.27,0.016565340471860375,119503.92,100181.31666666668,17125.50333333333,0.48845337969914904,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6450988099.969817,93678597621206.28,1436197982.581688
0.01,0.28,0.016527034282007573,119503.92,100181.31666666668,17125.50333333333,0.48845361327857534,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451026406.159671,93680561961737.72,1436236288.7715406
0.01,0.29,0.01648872809215477,119503.92,100181.31666666668,17125.50333333333,0.48845384685936444,0.20176448464331728,0.04970295492779889,0.23513069011946378,0.04039561636523424,0.19304770866126691,0.05213445662483704,6451064712.349523,93682526689438.19,1436274594.9613936
